"Model","beta","coef","AIC","RMSE","likeli"
"Australia","F",96,9799.11858022623,1.06595114857322,-4802.55929011311
"Australia","T",448,9974.14731263086,0.996015485579634,-4538.07365631543
"Spain","F",105,17078.4995567238,1.39692724110518,-8433.24977836188
"Spain","T",390,16782.4849749434,1.15751026696093,-8000.24248747169
