"Model","beta","coef","AIC","RMSE","likeli","BIC"
"Australia","F",46,9823.21028506748,1.1058800051255,-4864.60514253374,10041.7734003511
"Australia","T",139,9874.12412676051,1.06453119825492,-4797.06206338026,10525.1631935628
