"Model","beta","coef","AIC","RMSE","BIC","likeli"
"Australia","F",90,9794.97207045072,1.06315119342669,10218.1474638722,-4806.48603522536
"Australia","T",372,9981.61952480585,0.995935868957282,11716.173609929,-4617.80976240293
"Spain","F",93,17136.1142096148,1.46492866178503,17646.9899098847,-8474.05710480741
"Spain","T",313,16796.0499148999,1.13946236961969,18502.5921477165,-8084.02495744996
