"","Model","beta","focal","coef","AIC","RMSE","likeli"
"1","NA","FALSE","O",47,10477.0900113844,1.49326957088845,-5190.54500569218
"2","NA","TRUE","O",348,10770.74858282,1.36559912567005,-5036.37429141001
"3","NA.part","FALSE","O",55,9767.21804247293,1.16712169809145,-4827.60902123646
"4","NA.part","TRUE","O",355,10008.200402245,1.08958711690067,-4648.10020112252
"5","A","FALSE","O",170,9800.77667162553,1.06360925304223,-4729.38833581276
"6","A","TRUE","O",459,10069.1543096245,1.02800899297043,-4574.57715481224
"7","AB","TRUE","O",694,10263.2504760605,0.996678145809432,-4436.62523803023
