"","Model","beta","focal","coef","AIC","RMSE","likeli"
"1","NA","FALSE","O",18,19812.6617965376,1.28068462488188,-9887.3308982688
"2","NA","TRUE","O",127,19770.03614931,1.33652542995674,-9757.01807465499
"3","NA.part","FALSE","O",30,17939.3377523931,1.21769813765699,-8938.66887619656
"4","NA.part","TRUE","O",138,17676.3658467402,1.28959886864979,-8699.18292337009
"5","A","FALSE","O",145,17068.7514125763,1.40734981851515,-8388.37570628815
"6","A","TRUE","O",248,17139.6787221525,1.3995019617094,-8320.83936107624
"7","AB","TRUE","O",527,16996.5074927264,1.16064065799941,-7970.25374636318
