Data.name,Data,SP.CODE,Species,native_extoic,grass_forb,annual_perennial,family,species.dataset.code,exotic,measured.sla,mean.seed.mass,measured.height,measured.width,leaf.area.for.sla,leaf.dry.mass.for.sla,leaves.trait.handbook,vertical_structure,leaf_area_index,root_diameter_at_the_base_of_the_stem,specific_root_length,volumetric_root_density,specific_root_area,carbon/nitrogen,C13,N15
Godoy,Spain,MESU,Melilotus.sulcatus,native,forb,annual,Fabaceae,MESU,0,1583.088306,NA,23,NA,1.216718742,NA,erect leafy,0.636208569,0.102930845,0.491666667,4569.417808,6.538756083,339.0874395,11.63715679,-27.63,-1.03
Godoy,Spain,PAIN,Parapholis.incurva,native,grass,annual,Poaceae,PAIN,0,,NA,17.5,NA,3.3,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Godoy,Spain,PLCO,Plantago.coronopus,native,forb,annual,Plantaginaceae,PLCO,0,1325.464886,NA,13.33333333,NA,4.260365917,NA,short basal,0.506105642,2.322283696,4.666666667,6012.821659,3.440877998,529.3299985,26.59956866,-29.06,13.01
Godoy,Spain,POMA,Polypogon.maritimus,native,grass,annual,Poaceae,POMA,0,1763.081021,NA,15.41666667,NA,0.304043392,NA,grass,0.458358016,0.248418301,0.1,18896.05848,5.761667515,713.743478,20.68740592,-28.09,6.07
Godoy,Spain,POMO,Polypogon.monspeliensis,native,grass,annual,Poaceae,POMO,0,1334.485407,NA,53.58333333,NA,1.484993892,NA,grass,0.360340485,0.555406682,0.1,4895.699458,3.702192309,531.3260896,38.3062201,-27.3,19.19
Godoy,Spain,PUPA,Pulicaria.paludosa,native,forb,annual,Asteraceae,PUPA,0,903.1422476,NA,21,NA,0.464756475,NA,erect leafy,0.720917165,0.268589125,0.566666667,2445.832529,5.385546773,260.6631443,17.02419355,-28.68,8.8
Godoy,Spain,SASO,Salsola.soda,native,forb,annual,Amaranthaceae,SASO,0,335.3922613,NA,13.66666667,NA,0.520219833,NA,tall succulent,0.848599581,0.179033534,0.216666667,1959.996312,6.258014929,211.3444808,11.10809895,-13.25,22.66
Godoy,Spain,SCLA,Scorzonera.laciniata,native,forb,annual,Asteraceae,SCLA,0,2176.187515,NA,20.5,NA,3.89718,NA,erect leafy,0.664911579,0.809198285,9.416666667,5397.804294,1.958130935,648.7181116,20.74130879,-29.14,11.89
Godoy,Spain,SOAS,Sonchus.asper,native,forb,annual,Asteraceae,SOAS,0,2957.63386,NA,22.16666667,NA,8.207236583,NA,erect leafy,0.589418039,1.035235572,0.758333333,7563.938395,1.825267187,798.4265911,30.43512044,-28.99,5.65
Godoy,Spain,SPRU,Spergularia.rubra,native,forb,annual,Caryophyllaceae,SPRU,0,882.1100133,NA,9.25,NA,0.082956667,NA,short succulent,0.604580026,0.32623609,0.175,8941.415011,3.986585207,603.7588667,18.84736842,-27.42,14.6
Mayfield,Australia,AICA,Aira.caryophylla,exotic,grass,annual,Poaceae,Aira.caryophylla,1,41.39481575,0.022108333,97.8372093,28.4,14.308125,0.346875,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,ARCA,Arctotheca.calendula,exotic,forb,annual,Asteraceae,Arctotheca.calendula,1,29.18846029,1.116985,136.0344828,100,547.134,19.36245455,short basal,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,AVBA,Avena.barbata,exotic,grass,annual,Poaceae,Avena.barbata,1,32.166566,11.28538274,302.9166667,41.81818182,338.4781666,11.71683333,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,BRMA,Briza.maxima,exotic,grass,annual,Poaceae,Briza.maxima,1,51.80947284,2.003138341,206.6666667,40,126.9557608,2.639142857,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,BRRU,Bromus.rubens,exotic,grass,annual,Poaceae,Bromus.rubens,1,33.11134185,1.143358079,175.5555556,18.75,137.75,4.121571429,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,BRTO,Brassica.tournefortii,exotic,forb,annual,Brassicaeae,Brassica.tournefortii,1,35.01473361,1.31666,249.4736842,42.5,376.9081429,10.407,short basal,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,EHLO,Ehrharta.longiflora,exotic,grass,annual,Poaceae,Ehrharta.longiflora,1,59.26403246,1.821024444,224.1666667,50,163.5965211,2.73675,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,HYPO,Hypochaeris.glabra,exotic,forb,annual,Asteraceae,Hypochaeris.glabra,1,45.18693037,0.41599678,12.2826087,76.53846154,509.6995444,13.04158333,short basal,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,LYAR,Lysimachia.arvensis,exotic,forb,annual,Primulaceae,Lysimachia.arvensis,1,57.60874106,0.52079,142.5,23.33333333,90.60934606,1.574333333,erect leafy,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,OXAL,Oxalis.sp,exotic,forb,annual,Oxalidaceae,Oxalis.sp,1,49.46966739,0.298,51.25,20,71.20033333,1.462333333,semi basal,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,PALA,Parentucellia.latifolia,exotic,forb,annual,Orobanchaceae,Parentucellia.latifolia,1,26.9616464,0.008838178,81.91666667,7.555555556,28.822,1.069,erect leafy,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,PEAI,Pentaschistis.airoides,exotic,grass,annual,Poaceae,Pentaschistis.airoides,1,27.87926919,0.050803484,90.11764706,27.5,17.97880482,0.644166667,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayfield,Australia,PEDU,Petrorhagia.dubia,exotic,forb,annual,Carophyllaceae,Petrorhagia.dubia,1,29.1127,0.242804,151.0849,24.07,20.608,0.766,erect leafy,NA,NA,NA,NA,NA,NA,NA,NA,NA
